Lat: 42.331427, Lon: -83.045754, Time: 2024-08-19 12:34:56
Lat: 34.052235, Lon: -118.243683, Time: 2024-08-19 13:45:12
Lat: 40.712776, Lon: -74.005974, Time: 2024-08-19 14:23:08
Lat: 51.507351, Lon: -0.127758, Time: 2024-08-19 15:02:30
Lat: -33.868820, Lon: 151.209290, Time: 2024-08-19 16:18:44
Lat: 48.856613, Lon: 2.352222, Time: 2024-08-19 17:50:29
Lat: 35.689487, Lon: 139.691711, Time: 2024-08-19 18:21:33
Lat: 55.755825, Lon: 37.617298, Time: 2024-08-19 19:07:42
Lat: 39.904202, Lon: 116.407394, Time: 2024-08-19 20:11:56
Lat: -23.550520, Lon: -46.633308, Time: 2024-08-19 21:30:10
Lat: 41.902782, Lon: 12.496366, Time: 2024-08-19 22:45:01
Lat: 28.613939, Lon: 77.209023, Time: 2024-08-19 23:59:50
Lat: 37.774929, Lon: -122.419418, Time: 2024-08-20 01:15:37
Lat: -34.603722, Lon: -58.381592, Time: 2024-08-20 02:25:48
Lat: 52.520008, Lon: 13.404954, Time: 2024-08-20 03:36:29
Lat: 1.352083, Lon: 103.819839, Time: 2024-08-20 04:47:15
Lat: -26.204103, Lon: 28.047304, Time: 2024-08-20 05:58:34
Lat: 19.432608, Lon: -99.133209, Time: 2024-08-20 07:09:26
Lat: -35.280937, Lon: 149.130009, Time: 2024-08-20 08:20:48
Lat: 38.722252, Lon: -9.139337, Time: 2024-08-20 09:31:59
Lat: N/A, Lon: N/A, Time: 2024-08-19 10:42:13
Lat: N/A, Lon: N/A, Time: 2024-08-19 11:53:27
Lat: N/A, Lon: N/A, Time: 2024-08-19 13:04:41
Lat: N/A, Lon: N/A, Time: 2024-08-19 14:15:55
Lat: N/A, Lon: N/A, Time: 2024-08-19 15:27:09
Lat: N/A, Lon: N/A, Time: 2024-08-19 16:38:23
Lat: N/A, Lon: N/A, Time: 2024-08-19 17:49:37
Lat: N/A, Lon: N/A, Time: 2024-08-19 19:00:51
Lat: N/A, Lon: N/A, Time: 2024-08-19 20:12:05
Lat: N/A, Lon: N/A, Time: 2024-08-19 21:23:19
Lat: -33.868820, Lon: 151.209290, Time: 2024-08-19 16:18:44
